date,category,region,channel,sales_amount,units_sold,discount_pct,customer_rating,return_rate,marketing_spend,profit_margin,num_reviews,high_value
2023-03-16,Clothing,West,In-Store,1059.84,75,0.001,4.6,0.095,356.59,0.137,480,0
2023-03-17,Books,East,Online,1300.82,119,0.249,3.7,0.056,137.56,0.152,228,1
2023-03-17,Electronics,Central,Mobile App,1095.98,23,0.344,3.7,0.135,576.64,0.085,297,0
2023-03-18,Sports,North,Online,1063.73,128,0.074,3.8,0.153,190.81,0.128,274,0
2023-03-18,Books,West,In-Store,1241.0,39,0.188,3.5,0.042,605.82,0.168,170,1
2023-03-19,Clothing,North,In-Store,902.17,17,0.221,2.9,0.009,137.49,0.378,272,0
2023-03-19,Electronics,Central,In-Store,1208.96,12,0.179,4.9,0.008,264.96,0.262,294,1
2023-03-20,Home & Garden,North,In-Store,1238.95,18,0.19,3.8,0.096,900.91,0.321,188,1
2023-03-20,Clothing,West,In-Store,1061.77,69,0.166,4.5,0.129,824.51,0.321,491,0
2023-03-21,Sports,East,Online,1071.22,149,0.236,3.0,0.036,794.33,0.287,425,0
2023-03-21,Electronics,West,Mobile App,966.02,108,0.288,3.5,0.045,899.68,0.304,416,0
2023-03-22,Books,North,Online,1211.14,141,0.215,3.6,0.149,714.72,0.109,464,1
2023-03-22,Clothing,West,Online,1125.54,139,0.148,3.8,0.134,832.43,0.211,75,0
2023-03-23,Sports,East,In-Store,1103.01,94,0.348,4.5,0.094,903.85,0.281,176,0
2023-03-23,Electronics,South,In-Store,1255.67,149,0.342,4.8,0.17,636.1,0.119,78,1
2023-03-24,Clothing,Central,Mobile App,1000.33,15,0.292,4.0,0.155,575.46,0.173,183,0
2023-03-24,Sports,West,Online,1343.6,126,0.02,2.9,0.109,870.29,0.402,145,1
2023-03-25,Home & Garden,South,Online,1182.06,136,0.333,3.0,0.196,261.91,0.273,406,1
2023-03-25,Sports,West,In-Store,1036.38,91,0.259,3.0,0.025,821.65,0.241,318,0
2023-03-26,Books,North,In-Store,1156.89,46,0.338,2.5,0.09,879.45,0.398,181,1
2023-03-26,Electronics,South,Mobile App,994.84,33,0.318,4.0,0.125,414.84,0.367,130,0
2023-03-27,Books,South,Online,1076.76,125,0.302,3.5,0.056,682.95,0.442,362,0
2023-03-27,Sports,North,Online,1179.37,104,0.114,2.5,0.103,800.02,0.199,498,1
2023-03-28,Sports,Central,Mobile App,1290.57,135,0.185,4.6,0.198,760.75,0.296,285,1
2023-03-28,Clothing,North,Online,1160.52,16,0.014,3.7,0.171,989.39,0.423,48,1
2023-03-29,Sports,East,Mobile App,1241.36,86,0.175,4.3,0.046,583.19,0.259,249,1
2023-03-29,Books,Central,Online,1007.69,66,0.158,2.6,0.186,264.44,0.424,54,0
2023-03-30,Books,East,Mobile App,1170.31,89,0.087,3.4,0.189,283.93,0.178,353,1
2023-03-30,Sports,West,Online,1129.43,47,0.372,3.0,0.199,420.4,0.211,153,0
2023-03-31,Clothing,South,In-Store,1049.37,148,0.05,3.2,0.159,506.05,0.238,354,0
2023-03-31,Books,South,Mobile App,1251.27,22,0.159,4.2,0.009,452.37,0.238,313,1
2023-04-01,Home & Garden,Central,In-Store,1031.15,124,0.295,4.3,0.151,181.11,0.332,199,0
2023-04-01,Clothing,West,In-Store,1215.4,92,0.018,3.5,0.089,803.89,0.251,195,1
2023-04-02,Books,North,Online,1088.92,1,0.39,2.5,0.043,126.99,0.419,307,0
2023-04-02,Home & Garden,East,In-Store,1282.45,29,0.111,4.9,0.014,80.19,0.13,322,1
2023-04-03,Electronics,Central,In-Store,1146.02,13,0.327,4.9,0.146,792.95,0.176,70,0
2023-04-03,Clothing,East,Online,1017.69,87,0.021,3.5,0.067,838.24,0.107,355,0
2023-04-04,Sports,South,Mobile App,1173.11,2,0.114,3.5,0.122,278.07,0.367,247,1
2023-04-04,Books,Central,Online,1059.34,128,0.273,4.8,0.093,977.95,0.172,372,0
2023-04-05,Clothing,Central,In-Store,1011.04,67,0.187,2.8,0.155,434.49,0.106,117,0
2023-04-05,Clothing,South,Mobile App,1165.0,29,0.327,4.6,0.141,187.09,0.416,145,1
2023-04-06,Electronics,Central,Online,1076.24,27,0.213,4.4,0.075,159.92,0.194,105,0
2023-04-06,Electronics,East,Online,1267.39,4,0.232,3.8,0.183,133.27,0.295,262,1
2023-04-07,Clothing,West,Online,1213.88,50,0.352,3.3,0.074,75.89,0.173,262,1
2023-04-07,Books,Central,Online,1116.49,47,0.034,4.5,0.038,112.52,0.173,45,0
2023-04-08,Books,Central,Mobile App,1207.87,95,0.23,3.1,0.009,547.41,0.128,295,1
2023-04-08,Home & Garden,North,Online,1061.24,38,0.017,4.9,0.184,896.75,0.18,301,0
2023-04-09,Sports,West,Mobile App,1184.1,88,0.012,3.6,0.07,257.35,0.321,69,1
2023-04-09,Home & Garden,North,Mobile App,1137.99,143,0.267,4.4,0.139,490.62,0.078,355,0
2023-04-10,Sports,East,Online,1115.64,21,0.329,4.3,0.122,354.03,0.19,399,0
2023-04-10,Electronics,Central,Mobile App,1161.54,44,0.27,4.5,0.186,989.96,0.179,469,1
2023-04-11,Clothing,West,Mobile App,1110.81,57,0.313,4.6,0.04,502.64,0.395,407,0
2023-04-11,Electronics,Central,Mobile App,1063.63,22,0.018,4.9,0.076,595.71,0.445,192,0
2023-04-12,Electronics,North,Online,1139.68,97,0.18,4.4,0.166,180.99,0.18,67,0
2023-04-12,Books,South,Mobile App,1181.57,117,0.218,3.6,0.011,352.39,0.143,188,1
2023-04-13,Sports,West,Online,1197.08,46,0.04,4.5,0.114,514.58,0.328,309,1
2023-04-13,Electronics,South,Mobile App,1142.32,3,0.372,4.6,0.168,704.32,0.208,493,0
2023-04-14,Electronics,Central,Online,1101.89,118,0.066,4.0,0.075,902.86,0.291,304,0
2023-04-14,Books,Central,Mobile App,1098.17,142,0.275,2.5,0.13,866.58,0.302,317,0
2023-04-15,Clothing,Central,Mobile App,1149.44,19,0.156,4.6,0.126,757.92,0.371,51,1
2023-04-15,Clothing,South,Online,1098.77,145,0.097,4.8,0.042,612.69,0.395,128,0
2023-04-16,Sports,East,Mobile App,1190.87,23,0.292,4.5,0.019,122.62,0.238,369,1
2023-04-16,Home & Garden,East,In-Store,1127.14,39,0.364,3.6,0.111,709.92,0.103,48,0
2023-04-17,Electronics,East,In-Store,969.39,137,0.335,3.9,0.171,396.44,0.441,24,0
2023-04-17,Books,South,Mobile App,1305.59,30,0.353,3.4,0.021,901.09,0.219,362,1
2023-04-18,Home & Garden,South,In-Store,1036.8,99,0.284,3.1,0.167,751.58,0.283,265,0
2023-04-18,Books,East,Online,1164.75,39,0.268,3.9,0.01,804.23,0.448,284,1
2023-04-19,Books,South,Online,1167.42,108,0.103,4.5,0.116,200.39,0.054,404,1
2023-04-19,Sports,North,In-Store,1271.92,77,0.38,4.4,0.185,683.29,0.448,117,1
2023-04-20,Electronics,South,Mobile App,1298.81,115,0.013,2.7,0.073,163.58,0.415,463,1
2023-04-20,Books,East,In-Store,1136.84,111,0.27,2.6,0.085,99.2,0.408,473,0
2023-04-21,Clothing,Central,Mobile App,985.22,25,0.119,4.5,0.11,579.45,0.11,333,0
2023-04-21,Sports,Central,Online,1152.0,134,0.294,4.7,0.064,594.01,0.139,143,1
2023-04-22,Home & Garden,Central,In-Store,1132.49,128,0.287,2.9,0.104,198.23,0.364,8,0
2023-04-22,Clothing,North,Online,1222.82,91,0.132,4.6,0.15,293.91,0.072,441,1
2023-04-23,Sports,North,In-Store,1135.27,111,0.382,3.8,0.07,842.86,0.297,250,0
2023-04-23,Electronics,East,Online,1206.45,98,0.362,3.0,0.086,813.89,0.152,199,1
2023-04-24,Electronics,East,Online,1323.32,136,0.289,4.5,0.135,390.42,0.187,430,1
2023-04-24,Sports,South,In-Store,1432.78,120,0.107,4.5,0.018,454.64,0.261,156,1
2023-04-25,Home & Garden,West,Online,1106.63,106,0.345,3.1,0.152,917.25,0.4,331,0
2023-04-25,Clothing,West,In-Store,1281.01,46,0.29,4.5,0.057,994.95,0.119,486,1
2023-04-26,Books,North,In-Store,1141.88,144,0.001,3.1,0.003,587.4,0.055,297,0
2023-04-26,Home & Garden,West,Online,1186.26,38,0.351,4.1,0.084,137.88,0.117,347,1
2023-04-27,Home & Garden,East,Mobile App,1110.68,72,0.287,3.5,0.041,223.54,0.141,434,0
2023-04-27,Clothing,Central,In-Store,1125.15,142,0.017,3.4,0.059,791.33,0.235,133,0
2023-04-28,Sports,East,Online,1015.63,129,0.332,4.7,0.143,182.62,0.277,183,0
2023-04-28,Books,West,Online,1078.23,100,0.159,3.2,0.066,690.02,0.063,399,0
2023-04-29,Electronics,North,Mobile App,1196.2,108,0.016,2.5,0.077,597.65,0.191,178,1
2023-04-29,Clothing,South,Online,1228.23,72,0.305,3.1,0.059,779.12,0.099,147,1
2023-04-30,Electronics,Central,Mobile App,1160.56,5,0.349,4.8,0.132,773.79,0.294,197,1
2023-04-30,Clothing,South,Online,1156.71,35,0.182,3.3,0.008,342.15,0.216,335,1
2023-05-01,Books,West,Online,1108.74,147,0.107,4.8,0.127,517.45,0.075,70,0
2023-05-01,Sports,East,In-Store,1159.29,3,0.103,2.9,0.069,792.43,0.06,127,1
2023-05-02,Sports,Central,In-Store,1018.85,132,0.266,5.0,0.078,311.97,0.097,19,0
2023-05-02,Sports,South,Online,1176.15,30,0.088,2.7,0.119,806.68,0.209,232,1
2023-05-03,Sports,Central,Online,1146.74,78,0.053,4.6,0.131,270.91,0.24,333,1
2023-05-03,Books,North,In-Store,1199.41,104,0.32,4.9,0.032,244.03,0.101,471,1
2023-05-04,Electronics,Central,In-Store,970.61,64,0.265,3.7,0.052,65.92,0.126,410,0
2023-05-04,Clothing,North,Online,1373.66,84,0.343,3.4,0.038,264.73,0.231,298,1
2023-05-05,Books,Central,In-Store,1314.68,113,0.23,3.8,0.059,573.5,0.398,153,1
2023-05-05,Home & Garden,South,Online,1125.27,106,0.037,3.8,0.121,695.24,0.234,421,0
2023-05-06,Clothing,West,Online,1249.13,98,0.239,3.7,0.087,122.74,0.351,327,1
2023-05-06,Books,Central,Online,1249.01,25,0.031,4.5,0.124,547.39,0.262,89,1
2023-05-07,Home & Garden,South,Online,1373.56,88,0.153,4.7,0.12,318.15,0.237,333,1
2023-05-07,Clothing,East,In-Store,990.21,10,0.22,4.1,0.155,449.72,0.412,64,0
2023-05-08,Sports,North,In-Store,1266.91,14,0.147,3.4,0.101,333.17,0.214,198,1
2023-05-08,Sports,West,Online,1019.72,149,0.36,2.7,0.171,621.6,0.384,181,0
2023-05-09,Electronics,South,In-Store,1197.39,102,0.073,3.7,0.07,313.95,0.377,160,1
2023-05-09,Books,Central,In-Store,1068.58,128,0.162,2.6,0.108,940.25,0.129,240,0
2023-05-10,Sports,East,In-Store,1393.73,83,0.174,3.5,0.183,782.94,0.408,25,1
2023-05-10,Clothing,East,Mobile App,1015.91,46,0.128,2.6,0.152,346.21,0.226,368,0
2023-05-11,Electronics,Central,Mobile App,927.74,66,0.3,3.6,0.061,287.28,0.13,23,0
2023-05-11,Sports,South,Online,1320.6,110,0.133,2.5,0.068,669.31,0.391,120,1
2023-05-12,Home & Garden,South,Mobile App,1200.12,131,0.137,3.2,0.091,840.8,0.319,300,1
2023-05-12,Sports,South,Mobile App,1052.89,112,0.165,3.2,0.083,671.45,0.156,383,0
2023-05-13,Electronics,South,Mobile App,1273.5,19,0.296,3.6,0.136,976.7,0.105,211,1
2023-05-13,Home & Garden,North,In-Store,958.06,13,0.258,4.1,0.143,638.28,0.251,430,0
2023-05-14,Home & Garden,North,In-Store,1224.31,28,0.089,3.5,0.109,500.46,0.161,62,1
2023-05-14,Sports,East,Mobile App,1076.59,137,0.259,5.0,0.077,365.5,0.077,454,0
2023-05-15,Electronics,South,Mobile App,1189.38,71,0.257,4.3,0.069,113.36,0.068,450,1
2023-05-15,Home & Garden,South,Online,960.84,86,0.355,3.5,0.118,931.7,0.137,82,0
2023-05-16,Sports,South,Mobile App,1154.1,90,0.239,3.9,0.037,852.62,0.424,469,1
2023-05-17,Sports,East,Mobile App,963.2,58,0.201,3.5,0.12,262.78,0.236,318,0
2023-05-18,Sports,Central,Mobile App,995.88,54,0.056,4.6,0.172,277.19,0.228,184,0
2023-05-19,Home & Garden,South,Online,1082.54,12,0.046,4.8,0.174,536.69,0.056,438,0
2023-05-20,Home & Garden,West,In-Store,914.86,14,0.062,4.7,0.145,784.89,0.149,315,0
2023-05-21,Sports,South,Online,1027.43,121,0.069,4.9,0.149,91.84,0.397,98,0
2023-05-22,Clothing,Central,In-Store,1109.76,121,0.255,2.6,0.112,708.67,0.116,61,0
2023-05-23,Books,Central,In-Store,872.6,20,0.296,4.6,0.117,665.82,0.216,285,0
2023-05-24,Books,West,Mobile App,1012.03,75,0.212,4.4,0.027,269.91,0.056,476,0
2023-05-25,Books,South,In-Store,1014.16,144,0.332,3.1,0.089,697.29,0.241,21,0
2023-05-26,Home & Garden,Central,Online,1052.09,70,0.397,4.9,0.09,943.17,0.058,458,0
